,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255372877,2034454731,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255389544,2034471397,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255406211,2034488064,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255422879,2034504731,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255439546,2034521398,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 500.04501416261917, 'y': 499.9957129368934, 'elapsedTime': 7}",9255456216,2034538067,POINT (0.2604401115430308 0.4629589934600865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 500.04501416261917, 'y': 499.9957129368934, 'elapsedTime': 7}",9255472883,2034554734,POINT (0.2604401115430308 0.4629589934600865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 500.04501416261917, 'y': 499.9957129368934, 'elapsedTime': 7}",9255489550,2034571400,POINT (0.2604401115430308 0.4629589934600865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 502.20570007389676, 'y': 497.9895374099898, 'elapsedTime': 511.40000000037253}",9255506217,2034588067,POINT (0.2615654687884879 0.4611014235277683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 502.20570007389676, 'y': 497.9895374099898, 'elapsedTime': 511.40000000037253}",9255522885,2034604734,POINT (0.2615654687884879 0.4611014235277683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 502.20570007389676, 'y': 497.9895374099898, 'elapsedTime': 511.40000000037253}",9255539551,2034621400,POINT (0.2615654687884879 0.4611014235277683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 515.1823625199986, 'y': 491.84498251933263, 'elapsedTime': 566.2999999988824}",9255556221,2034638069,POINT (0.2683241471458326 0.455412020851234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 515.1823625199986, 'y': 491.84498251933263, 'elapsedTime': 566.2999999988824}",9255572887,2034654735,POINT (0.2683241471458326 0.455412020851234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 515.1823625199986, 'y': 491.84498251933263, 'elapsedTime': 566.2999999988824}",9255589556,2034671403,POINT (0.2683241471458326 0.455412020851234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 515.1823625199986, 'y': 491.84498251933263, 'elapsedTime': 566.2999999988824}",9255606223,2034688070,POINT (0.2683241471458326 0.455412020851234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 549.87240759032, 'y': 484.0532974066356, 'elapsedTime': 624.1999999992549}",9255622889,2034704736,POINT (0.2863918789532917 0.4481974975987367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 549.87240759032, 'y': 484.0532974066356, 'elapsedTime': 624.1999999992549}",9255639549,2034721395,POINT (0.2863918789532917 0.4481974975987367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 549.87240759032, 'y': 484.0532974066356, 'elapsedTime': 624.1999999992549}",9255656216,2034738062,POINT (0.2863918789532917 0.4481974975987367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 605.8536063174132, 'y': 475.38918727998515, 'elapsedTime': 679.5999999996275}",9255672884,2034754729,POINT (0.3155487532903194 0.4401751734073936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 605.8536063174132, 'y': 475.38918727998515, 'elapsedTime': 679.5999999996275}",9255689551,2034771396,POINT (0.3155487532903194 0.4401751734073936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 605.8536063174132, 'y': 475.38918727998515, 'elapsedTime': 679.5999999996275}",9255706218,2034788062,POINT (0.3155487532903194 0.4401751734073936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 684.1829753239198, 'y': 445.03068910418773, 'elapsedTime': 725.9000000003725}",9255722893,2034804737,POINT (0.3563452996478749 0.4120654528742479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 684.1829753239198, 'y': 445.03068910418773, 'elapsedTime': 725.9000000003725}",9255739560,2034821403,POINT (0.3563452996478749 0.4120654528742479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 773.9602352195186, 'y': 429.88057744427505, 'elapsedTime': 776.1999999992549}",9255756227,2034838070,POINT (0.4031042891768326 0.3980375717076621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
